t,surge,sway,heave,roll,pitch,yaw,heave_vel
6.360000000000000320e+00,-4.379722992120608071e-11,-1.052569244910391200e-14,2.079171933873962333e-02,-2.713929277101001290e-15,1.227394374090604703e-10,-2.947841145336664835e-14,-4.792690638742613113e-03
6.370000000000000107e+00,-4.388713451096804010e-11,-1.051264760785587821e-14,2.073954859001935630e-02,-2.692726555987041800e-15,1.228474061643271669e-10,-2.951086598510668533e-14,-5.641462755699185386e-03
6.379999999999999893e+00,-4.397191509837892139e-11,-1.049974988248723613e-14,2.067890453550185262e-02,-2.670416351488253131e-15,1.229211423349795851e-10,-2.954356232487824835e-14,-6.487352416925116876e-03
6.390000000000000568e+00,-4.405156674393646926e-11,-1.048701414124264292e-14,2.060981821751177445e-02,-2.646995527002527585e-15,1.229606505965275106e-10,-2.957646661314211718e-14,-7.329916061016253370e-03
6.400000000000000355e+00,-4.412608595534214356e-11,-1.047445441314150724e-14,2.053232509969205033e-02,-2.622462977747057308e-15,1.229659463827550443e-10,-2.960954519480771691e-14,-8.168712992894594516e-03
6.410000000000000142e+00,-4.419547069250725513e-11,-1.046208328530069326e-14,2.044646503763364667e-02,-2.596820414490575109e-15,1.229370558590560211e-10,-2.964276790789888067e-14,-9.003305511903781158e-03
6.419999999999999929e+00,-4.425972037345983026e-11,-1.044991135749709343e-14,2.035228224618277834e-02,-2.570073066754580688e-15,1.228740158897747741e-10,-2.967611124413809207e-14,-9.833259471209155472e-03
6.429999999999999716e+00,-4.431883588121981281e-11,-1.043794679545851803e-14,2.024982526268724950e-02,-2.542230251377574634e-15,1.227768739990665848e-10,-2.970956111410523740e-14,-1.065814451385522707e-02
6.440000000000000391e+00,-4.437281957162931100e-11,-1.042619501854854465e-14,2.013914690682118078e-02,-2.513305758801993807e-15,1.226456883256171697e-10,-2.974311497612695065e-14,-1.147753453319006779e-02
6.450000000000000178e+00,-4.442167528209565738e-11,-1.041465854967615265e-14,2.002030423663657063e-02,-2.483318020962566747e-15,1.224805275710854695e-10,-2.977678313502973028e-14,-1.229100795823523558e-02
6.459999999999999964e+00,-4.446540834111980568e-11,-1.040333704455600827e-14,1.989335850122138719e-02,-2.452290038186437818e-15,1.222814709426293564e-10,-2.981058908075493602e-14,-1.309814815343600565e-02
6.469999999999999751e+00,-4.450402557842652745e-11,-1.039222750561770107e-14,1.975837508982246360e-02,-2.420249058782014544e-15,1.220486080896807819e-10,-2.984456881227415813e-14,-1.389854372128131871e-02
6.480000000000000426e+00,-4.453753533543233746e-11,-1.038132467302997883e-14,1.961542347768055125e-02,-2.387226021633605769e-15,1.217820390354490443e-10,-2.987876917313692779e-14,-1.469178886064853237e-02
6.490000000000000213e+00,-4.456594747573044098e-11,-1.037062157293424012e-14,1.946457716855139533e-02,-2.353254788802953328e-15,1.214818741035667991e-10,-2.991324530457565983e-14,-1.547748366878035076e-02
6.500000000000000000e+00,-4.458927339521389283e-11,-1.036011019159931471e-14,1.930591363409470476e-02,-2.318371210003398039e-15,1.211482338404823981e-10,-2.994805739382002958e-14,-1.625523446753833132e-02
6.509999999999999787e+00,-4.460752603142618280e-11,-1.034978223494826681e-14,1.913951425016999219e-02,-2.282612073214255815e-15,1.207812489341723844e-10,-2.998326695313508070e-14,-1.702465409445502037e-02
6.520000000000000462e+00,-4.462071987171000509e-11,-1.033962992626506898e-14,1.896546423019029176e-02,-2.246014004370044922e-15,1.203810601298327374e-10,-3.001893290430066211e-14,-1.778536220106635701e-02
6.530000000000000249e+00,-4.462887095973503813e-11,-1.032964679152416675e-14,1.878385255561077286e-02,-2.208612383570280105e-15,1.199478181431571539e-10,-3.005510776051415173e-14,-1.853698552690747139e-02
6.540000000000000036e+00,-4.463199690001574661e-11,-1.031982838186226689e-14,1.859477190368994184e-02,-2.170440345069506691e-15,1.194816835718019686e-10,-3.009183419160579949e-14,-1.927915817150076261e-02
